TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
3417,KATSINA,KAITA,DANKABA,FULFAREN UMME MAI UNGUWA,20-18-02-013,435
3418,KATSINA,KAITA,DANKABA,JAWURDE - K/G MAI UNG,20-18-02-014,389
3419,KATSINA,KAITA,DANKABA,PILOT PRI. SCH.,20-18-02-015,05
3420,KATSINA,KAITA,ABDALLAWA,ABDALLAWA 'A' - T.V CENTRE ABDALLAWA,20-18-03-001,566
3421,KATSINA,KAITA,ABDALLAWA,ABDALLAWA 'B' PRI.SCHOOL,20-18-03-002,446
3422,KATSINA,KAITA,ABDALLAWA,ABDALLAWA 'C' PRI.SCHOOL,20-18-03-003,438
3423,KATSINA,KAITA,ABDALLAWA,NANJOGEL - NEAR GIDAN GALADIMA,20-18-03-004,635
3424,KATSINA,KAITA,ABDALLAWA,KUKA - KUKA FAGE,20-18-03-005,483
3425,KATSINA,KAITA,ABDALLAWA,LAFIYARU 'A' - LAFIYARU PRI.SCHOOL,20-18-03-006,422
3426,KATSINA,KAITA,ABDALLAWA,LAFIYARU 'B' LAFIYARU PRI.SCHOOL,20-18-03-007,352
3427,KATSINA,KAITA,ABDALLAWA,DANBAZAU - DANBAZAU PRI.SCHOOL,20-18-03-008,359
3428,KATSINA,KAITA,ABDALLAWA,JIFATU - JIFATU PRI.SCHOOL,20-18-03-009,783
3429,KATSINA,KAITA,ABDALLAWA,FATAYE - NEAR GIDAN ABASHE,20-18-03-010,420
3430,KATSINA,KAITA,ABDALLAWA,DISPENSARY JIFATU,20-18-03-011,19
3431,KATSINA,KAITA,BAAWA,BA'AWA - BA'AWA DISPENSARY,20-18-04-001,881
3432,KATSINA,KAITA,BAAWA,DAGONI NEAR GIDAN MAI UNG,20-18-04-002,624
3433,KATSINA,KAITA,BAAWA,DAN KUNAMA - T.V CENTRE DAN KUNAMA,20-18-04-003,808
3434,KATSINA,KAITA,BAAWA,BAMLE DUTSI - BAMLE PRI.SCHOOL,20-18-04-004,603
3435,KATSINA,KAITA,BAAWA,TSAMIYA - NEAR GIDAL L. HAMZA,20-18-04-005,557
3436,KATSINA,KAITA,BAAWA,SABON BIRNI - NEAR GIDAN BALA,20-18-04-006,574
3437,KATSINA,KAITA,BAAWA,DISPENSARY BA'AWA,20-18-04-007,43
3438,KATSINA,KAITA,BAAWA,BAKIN ASIBITI DANKUNAMA,20-18-04-008,24
3439,KATSINA,KAITA,GAFIYA,GAFIYA GARI - T.V CENTRE,20-18-05-001,918
3440,KATSINA,KAITA,GAFIYA,GAFIYA KARKARA - DISPENSARY GAFIY,20-18-05-002,870
3441,KATSINA,KAITA,GAFIYA,BIRJI GARI TSAMIYAR MAI DAME,20-18-05-003,412
3442,KATSINA,KAITA,GAFIYA,BADO GARI - BADO PRI SCHOOL,20-18-05-004,1007
3443,KATSINA,KAITA,GAFIYA,GWARAI GARI NEAR M/UNG. HOUSE,20-18-05-005,467
3444,KATSINA,KAITA,GAFIYA,ZABAKAU - ZABAKAU PRI.SCHOOL,20-18-05-006,521
3445,KATSINA,KAITA,GAFIYA,SHOTEL - KOFAR GIDAN MAI UNGUWA,20-18-05-007,373
3446,KATSINA,KAITA,GAFIYA,MADAFA - NEAR M/UNG. HOUSE,20-18-05-008,400
3447,KATSINA,KAITA,GAFIYA,YAR TALATA - FAGE YARTALATA,20-18-05-009,484
3448,KATSINA,KAITA,GAFIYA,GINDIN KANYA FAGEN DANMAIKI,20-18-05-010,05
3449,KATSINA,KAITA,GAFIYA,NAHUTA PRI. SCH.,20-18-05-011,03
3450,KATSINA,KAITA,GAFIYA,PRI. SCH. GAFIYA,20-18-05-012,111
3451,KATSINA,KAITA,GIRKA,GIRKA 'A' T.V. CENTRE,20-18-06-001,695
3452,KATSINA,KAITA,GIRKA,GIRKA 'B' - GIRKA PRI.SCHOOL,20-18-06-002,578
3453,KATSINA,KAITA,GIRKA,GARU - GARU PRI.SCHOOL,20-18-06-003,752
3454,KATSINA,KAITA,GIRKA,MASAKI/TARKAMA - MASAKI PRI.SCHOOL,20-18-06-004,607
3455,KATSINA,KAITA,GIRKA,MAKAURACI - MAKAURACI PRI.SCHOOL,20-18-06-005,819
3456,KATSINA,KAITA,GIRKA,KWANGWAMI - K/GIDAN MAI UNG,20-18-06-006,481
3457,KATSINA,KAITA,GIRKA,UNG.JIBO - UNG JIBO PRI.SCHOOL,20-18-06-007,575
3458,KATSINA,KAITA,GIRKA,GADARI - NEAR GIDAN MAI UNGUWA,20-18-06-008,463
3459,KATSINA,KAITA,GIRKA,UNG. TSAMIYA - UNG TSAMIYA PRI.SCHOOL,20-18-06-009,731
3460,KATSINA,KAITA,GIRKA,JANKERMA - K/GIDAN MAI UNG.,20-18-06-010,758
3461,KATSINA,KAITA,GIRKA,DANGAMJI - K/GIDAN MAI UNG,20-18-06-011,665
3462,KATSINA,KAITA,GIRKA,GAJABO BAKIN RIJIYA,20-18-06-012,10
3463,KATSINA,KAITA,KAITA,KAITA A - T.V CENTRE,20-18-07-001,1374
3464,KATSINA,KAITA,KAITA,KAITA 'B' - WORKS DEPT.,20-18-07-002,744
3465,KATSINA,KAITA,KAITA,KAITA C - KAITA PRI.CSCHOOL,20-18-07-003,1602
3466,KATSINA,KAITA,KAITA,KAITA D - KAITA PRI.SCHOOL,20-18-07-004,733
3467,KATSINA,KAITA,KAITA,KAITA E UNG. MAKERA KAITA,20-18-07-005,593
3468,KATSINA,KAITA,KAITA,KAITA F - K/GIDAN ALH.KADO,20-18-07-006,799
3469,KATSINA,KAITA,KAITA,GANDE GARI 'A' - K/GIDAN MAI UNG,20-18-07-007,590
3470,KATSINA,KAITA,KAITA,GANDE GARI 'B' PRI.SCHOOL,20-18-07-008,383
3471,KATSINA,KAITA,KAITA,GANDE FULANI - AT YARA,20-18-07-009,255
3472,KATSINA,KAITA,KAITA,DABAWA GARI - K/GIDAN MAI UNG,20-18-07-010,309
3473,KATSINA,KAITA,KAITA,GIRMAWA - NEAR GIDAN ALH. BALA,20-18-07-011,334
3474,KATSINA,KAITA,KAITA,DABA 'A - DABA PRI.SCHOOL,20-18-07-012,353
3475,KATSINA,KAITA,KAITA,DABA GARI 'B' - K/GIDAN MAI UNG,20-18-07-013,239
3476,KATSINA,KAITA,KAITA,KWANAR SHAGARI - K/GIDAN MAI. LAWAL,20-18-07-014,572
3477,KATSINA,KAITA,KAITA,DOROYI - AT FAGE DOROYI,20-18-07-015,321
3478,KATSINA,KAITA,KAITA,TSAUNIN AUTA - KOFAR GIDAN AUTA,20-18-07-016,356
3479,KATSINA,KAITA,KAITA,MODIBAWA 'A' - K/GIDAN MAI UNG,20-18-07-017,583
3480,KATSINA,KAITA,KAITA,MODIBAWA 'B' - MODIBAWA PRI.SCHOOL,20-18-07-018,285
3481,KATSINA,KAITA,KAITA,MODIBAWA 'C' AT BADOLE,20-18-07-019,350
3482,KATSINA,KAITA,KAITA,KOKAYA / WAILA - AT NEAR KOYA,20-18-07-020,571
3483,KATSINA,KAITA,KAITA,KAITA'G' - WORKS DEPT.,20-18-07-021,607
3484,KATSINA,KAITA,KAITA,TSOHUWAR KOTU KAITA,20-18-07-022,131
3485,KATSINA,KAITA,KAITA,DISPENSARY,20-18-07-023,106
3486,KATSINA,KAITA,KAITA,PILOT PRI. SCH.,20-18-07-024,172
3487,KATSINA,KAITA,KAITA,OLD READING ROOM,20-18-07-025,41
3488,KATSINA,KAITA,KAITA,YARAR TUKUR,20-18-07-026,12
3489,KATSINA,KAITA,YANHOHO,YANHOHO 'A' - K/GIDAN MAI UNG,20-18-08-001,858
3490,KATSINA,KAITA,YANHOHO,YANHOHO 'B' - PRI.SCHOOL,20-18-08-002,825
3491,KATSINA,KAITA,YANHOHO,KAFIN MASHI - K/MASHI PRI.SCHOOL,20-18-08-003,948
3492,KATSINA,KAITA,YANHOHO,MODIBAWA - MODIBAWA PRI.SCHOOL,20-18-08-004,761
3493,KATSINA,KAITA,YANHOHO,UNG.MALAMAI K/GIDAN LIMA,20-18-08-005,645
3494,KATSINA,KAITA,YANHOHO,WAILA - NEAR GIDAN BUNU DOGO,20-18-08-006,496
3495,KATSINA,KAITA,YANHOHO,ALLEMI GARI - ALLEMI PRI.SCHOOL,20-18-08-007,458
3496,KATSINA,KAITA,YANHOHO,KWARYAWA - AT YARA KWARYAWA,20-18-08-008,412
3497,KATSINA,KAITA,YANHOHO,NAHUTA RIJIYA YARA NAHUTA,20-18-08-009,412
3498,KATSINA,KAITA,YANHOHO,SABI GARI - SABI PRI.SCHOOL,20-18-08-010,730
3499,KATSINA,KAITA,YANHOHO,DISPENSARY YANHOHO,20-18-08-011,154
3500,KATSINA,KAITA,YANHOHO,BUSAU,20-18-08-012,113
3501,KATSINA,KAITA,YANHOHO,KAFIN MASHI PRI. SCH.,20-18-08-013,27
3502,KATSINA,KAITA,DANKAMA,DANKAMA 'A' - KOFAR FADA DANKAMA,20-18-09-001,725
3503,KATSINA,KAITA,DANKAMA,DANKAMA 'B' T.V. CENTER,20-18-09-002,904
3504,KATSINA,KAITA,DANKAMA,DANKAMA 'C' DANKAMA PRI.SCHOOL,20-18-09-003,1424
3505,KATSINA,KAITA,DANKAMA,DUMA - DUMA PRI.SCHOOL,20-18-09-004,418
3506,KATSINA,KAITA,DANKAMA,LUGGA GARI - AT YARA LUGGA,20-18-09-005,445
3507,KATSINA,KAITA,DANKAMA,DONO/DANTSARA - AT YARA DONO,20-18-09-006,318
3508,KATSINA,KAITA,DANKAMA,DANTUDU GARI - DANTUFU PRI.SCHOOL,20-18-09-007,595
3509,KATSINA,KAITA,DANKAMA,ZANGUNA - K/GIDAN MAGAJI,20-18-09-008,804
3510,KATSINA,KAITA,DANKAMA,WANKE TSIYA - K/GIDAN MAI UNG,20-18-09-009,529
3511,KATSINA,KAITA,DANKAMA,ASHALLU AT YARA ASHALLU,20-18-09-010,237
3512,KATSINA,KAITA,DANKAMA,KUNTU GARI - KUNTU PRI.SCHOOL,20-18-09-011,535
3513,KATSINA,KAITA,DANKAMA,INWALA - AT YARA PRI.SCHOOL,20-18-09-012,348
3514,KATSINA,KAITA,DANKAMA,GWANGA GARI/FULANI-GWANGA PRI.SCHOOL,20-18-09-013,519
3515,KATSINA,KAITA,DANKAMA,KIRDA/SHAGARI - RIJIYAR ZANKARA,20-18-09-014,357
3516,KATSINA,KAITA,DANKAMA,JAGABA/GIDAN DARE K/GIDAN MAI UNG.,20-18-09-015,503
3517,KATSINA,KAITA,DANKAMA,FADAMA/BABARE - AT BABARE K/G MAI UNG,20-18-09-016,395
3518,KATSINA,KAITA,DANKAMA,DANKAMA 'D' - KOFAR FADA DANKAMA,20-18-09-017,648
3519,KATSINA,KAITA,DANKAMA,DANKAMA 'A' (1) / KOFAR FADA T.V. CENTRE,20-18-09-018,573
3520,KATSINA,KAITA,DANKAMA,BAKIN ASIBITI K/GIDAN HARO WAKILI,20-18-09-019,11
3521,KATSINA,KAITA,DANKAMA,DANKAMA 'C' (I),20-18-09-020,01
3522,KATSINA,KAITA,DANKAMA,DANKAMA 'C' (II),20-18-09-021,01
3523,KATSINA,KAITA,DANKAMA,K/G SADI MIRO,20-18-09-022,13
3524,KATSINA,KAITA,MATSAI,MATSAI K/FADA - K/GIDAN MAGAJI,20-18-10-001,875
3525,KATSINA,KAITA,MATSAI,GIDAN KANO ALGAITA - T.V. CENTRE,20-18-10-002,942
3526,KATSINA,KAITA,MATSAI,UNG RUWA - MATSAI DISIPENSARY,20-18-10-003,445
3527,KATSINA,KAITA,MATSAI,RADI - RADI PRI.SCHOOL,20-18-10-004,927
3528,KATSINA,KAITA,MATSAI,KAGADAMA/GISHIRAWA - KAGADAMA PRI.SCHOOL,20-18-10-005,619
3529,KATSINA,KAITA,MATSAI,KABOBI GARI - K/GIDAN MAI UNGUWA,20-18-10-006,791
3530,KATSINA,KAITA,MATSAI,KABOBI YAMMA - KABOBI PRI.SCHOOL,20-18-10-007,689
3531,KATSINA,KAITA,MATSAI,BILASKORI - BILASKORI PRI.SCHOOL,20-18-10-008,670
3532,KATSINA,KAITA,MATSAI,GOBIRAWA - GIDAN GAYYA,20-18-10-009,734
3533,KATSINA,KAITA,MATSAI,GANGARA/KWARIN TIGA - FAGEN FARU,20-18-10-010,244
3534,KATSINA,KAITA,MATSAI,K/GIDAN MAI UNGUWA,20-18-10-011,14
3535,KATSINA,KAITA,MATSAI,WANGE-WANGE PRI. SCH.,20-18-10-012,24
3536,KATSINA,KAITA,MATSAI,RADI T.V CENTRE,20-18-10-013,05
3537,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,NAGUNDA - K/G MAI UNG,20-19-01-001,412
3538,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MABAI I - PRI.SCHOOL,20-19-01-002,372
3539,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MABAI II - KG/MAI UNGUWA,20-19-01-003,462
3540,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MABAI/ISLAMIYA -K/GIDAN MAIUNGUWA,20-19-01-004,522
3541,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,JAGA - K/GIDAN MAI UNGUWA,20-19-01-005,337
3542,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,BIYA -K/GIDAN MAI UNGUWA,20-19-01-006,323
3543,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MADOBAI I - K/GIDAN MAI UNGUWA,20-19-01-007,548
3544,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MADOBAI II - PRI.SCHOOL,20-19-01-008,536
3545,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,KAFI - K/GIDAN MAI UNG,20-19-01-009,636
3546,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,RUNJI - KOFAR GIDAN MAI UNG,20-19-01-010,288
3547,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,KAIKABAYAS -K/G MAI UNG,20-19-01-011,419
3548,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,UNG. DAUDU - K/G MAI UNG,20-19-01-012,444
3549,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,DAN KUMEJI I PRI.SCHOOL,20-19-01-013,633
3550,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,DAN KUMEJI II K/G MAI UNG,20-19-01-014,426
3551,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,GAJAKAWA I K/G MAI UNG.,20-19-01-015,680
3552,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,ZURUNKUTUN I - PRI.SCHOOL,20-19-01-016,617
3553,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,ZURUNKUTUN II - PRI.SCHOOL,20-19-01-017,568
3554,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,GATAKAWA II - PRI.SCHOOL,20-19-01-018,497
3555,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,UNG.BAKO - K/G MAI UNG,20-19-01-019,862
3556,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,MABAI IV - YAR YARA,20-19-01-020,392
3557,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,DAN NAKWABO,20-19-01-021,637
3558,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,GATAKAWA (MASGABA),20-19-01-022,481
3559,KATSINA,KANKARA,GATAKAWA S/GARI/MABAI,TABKIN GUNGUME,20-19-01-023,01
3560,KATSINA,KANKARA,ZANGO/ZABARO,ZANGO I PRI.SCHOOL,20-19-02-001,939
3561,KATSINA,KANKARA,ZANGO/ZABARO,ZANGO II  PRI.SCHOOL,20-19-02-002,656
3562,KATSINA,KANKARA,ZANGO/ZABARO,ZANGO K/G MAI UNG III,20-19-02-003,1163
3563,KATSINA,KANKARA,ZANGO/ZABARO,MAKERA - K/G MAI UNG,20-19-02-004,661
3564,KATSINA,KANKARA,ZANGO/ZABARO,DANSABAU I - T.V VIEWING CENTRE,20-19-02-005,924
3565,KATSINA,KANKARA,ZANGO/ZABARO,DANSABAU II K/G MAI UNG,20-19-02-006,705
3566,KATSINA,KANKARA,ZANGO/ZABARO,DANMARKE Z. -K/GIDAN MAI UNG,20-19-02-007,754
3567,KATSINA,KANKARA,ZANGO/ZABARO,AREDA I PRI.SCHOOL,20-19-02-008,699
3568,KATSINA,KANKARA,ZANGO/ZABARO,AREDA II - K/GIDAN MAI UNG,20-19-02-009,432
3569,KATSINA,KANKARA,ZANGO/ZABARO,DAKAMAWA - K/G DAN MAI UNG,20-19-02-010,179
3570,KATSINA,KANKARA,ZANGO/ZABARO,SANTAR GURAJE I PRI.SCHOOL,20-19-02-011,630
3571,KATSINA,KANKARA,ZANGO/ZABARO,SANTAR GURAJE II PRI.SCHOOL,20-19-02-012,595
3572,KATSINA,KANKARA,ZANGO/ZABARO,TANIMAWA - PRI.SCHOOL,20-19-02-013,405
3573,KATSINA,KANKARA,ZANGO/ZABARO,KABUKE K/G MAI UNG,20-19-02-014,516
3574,KATSINA,KANKARA,ZANGO/ZABARO,SANTAR NAKANTI K/G MAI UNG,20-19-02-015,448
3575,KATSINA,KANKARA,ZANGO/ZABARO,SALIIHAWA  K/G MAI UNG,20-19-02-016,249
3576,KATSINA,KANKARA,ZANGO/ZABARO,BELA - K/MAI UNG,20-19-02-017,414
3577,KATSINA,KANKARA,ZANGO/ZABARO,BAKKAI - PRI.SCHOOL,20-19-02-018,905
3578,KATSINA,KANKARA,ZANGO/ZABARO,GIDAN DAMO K/G MAI UNG,20-19-02-019,294
3579,KATSINA,KANKARA,ZANGO/ZABARO,DAN YAROJI - K/G MAI UNG,20-19-02-020,494
3580,KATSINA,KANKARA,ZANGO/ZABARO,SHERERE K/G MAI UNG.,20-19-02-021,499
3581,KATSINA,KANKARA,ZANGO/ZABARO,ZANGO DISPENSARY,20-19-02-022,48
3582,KATSINA,KANKARA,ZANGO/ZABARO,ZANGO ISLAMIYYA,20-19-02-023,11
3583,KATSINA,KANKARA,ZANGO/ZABARO,DAN SABAU BAKIN MASALLACI,20-19-02-024,01
3584,KATSINA,KANKARA,ZANGO/ZABARO,DAN MARKE Z DSPNSARY,20-19-02-025,03
3585,KATSINA,KANKARA,ZANGO/ZABARO,BAKKAI B/MAKERA G/BEDI,20-19-02-026,39
3586,KATSINA,KANKARA,PAUWA A&B,YARDORAWA - K/G MAI UNG,20-19-03-001,490
3587,KATSINA,KANKARA,PAUWA A&B,KATANTU - K/G MAI UNG,20-19-03-002,489
3588,KATSINA,KANKARA,PAUWA A&B,MAHERA - K/G MAI UNG,20-19-03-003,476
3589,KATSINA,KANKARA,PAUWA A&B,YAN GEME - YAR YARA CHEDIYA,20-19-03-004,554
3590,KATSINA,KANKARA,PAUWA A&B,MAJIFA PRI.SCHOOL,20-19-03-005,548
3591,KATSINA,KANKARA,PAUWA A&B,UNG MARU - RIMI,20-19-03-006,421
3592,KATSINA,KANKARA,PAUWA A&B,GIDAN JEFAU - GIDAN JEFAU,20-19-03-007,478
3593,KATSINA,KANKARA,PAUWA A&B,PAUWA I PRI.SCHOOL,20-19-03-008,784
3594,KATSINA,KANKARA,PAUWA A&B,PAUWA II - DISIPENSARY,20-19-03-009,494
3595,KATSINA,KANKARA,PAUWA A&B,KATOGE I PRI.SCHOOL,20-19-03-010,652
3596,KATSINA,KANKARA,PAUWA A&B,KATOGE II DISPENSARY,20-19-03-011,491
3597,KATSINA,KANKARA,PAUWA A&B,DAN BIRGIMA - K/GIDAN MAI,20-19-03-012,830
3598,KATSINA,KANKARA,PAUWA A&B,MASAKU - PRI.SCHOOL,20-19-03-013,815
3599,KATSINA,KANKARA,PAUWA A&B,KAURAWA - K/G MAI UNG,20-19-03-014,400
3600,KATSINA,KANKARA,PAUWA A&B,GURBI I - UNG YAMMA,20-19-03-015,745
3601,KATSINA,KANKARA,PAUWA A&B,GURBI II PRI.SCHOOL,20-19-03-016,880
3602,KATSINA,KANKARA,PAUWA A&B,KOKARAWA - K/G MAI UNG,20-19-03-017,463
3603,KATSINA,KANKARA,PAUWA A&B,GIDAN SARKI BAKIN HANYA,20-19-03-018,269
3604,KATSINA,KANKARA,PAUWA A&B,UNG DANGWAMMA - K/G MAI UNG,20-19-03-019,418
3605,KATSINA,KANKARA,PAUWA A&B,KWANGERAWA K/G MAI UNG,20-19-03-020,229
3606,KATSINA,KANKARA,PAUWA A&B,DANCHIROMA K/G MAI UNG,20-19-03-021,331
3607,KATSINA,KANKARA,PAUWA A&B,SABON GARI MASALLACI IDI,20-19-03-022,66
3608,KATSINA,KANKARA,PAUWA A&B,DAN BIRGIMA PRI SCH,20-19-03-023,212
3609,KATSINA,KANKARA,PAUWA A&B,GOBIRAWA,20-19-03-024,78
3610,KATSINA,KANKARA,PAUWA A&B,GURBI YAR YARA,20-19-03-025,08
3611,KATSINA,KANKARA,KUKASHEKA,SABON LAYI I  A&B PRI.SCHOOL,20-19-04-001,807
3612,KATSINA,KANKARA,KUKASHEKA,DURKANIYA - K/G MAI UNG,20-19-04-002,605
3613,KATSINA,KANKARA,KUKASHEKA,GOBIRAWA I AB PRI SCHOOL,20-19-04-003,606
3614,KATSINA,KANKARA,KUKASHEKA,GOBIRAWA II K/G MAI UNG,20-19-04-004,507
3615,KATSINA,KANKARA,KUKASHEKA,HURUMI I PRI.SCHOOL,20-19-04-005,974
3616,KATSINA,KANKARA,KUKASHEKA,HURUMI II K/G MAI UNG,20-19-04-006,252
3617,KATSINA,KANKARA,KUKASHEKA,UNG DOGO - K/G MAI UNG,20-19-04-007,517
3618,KATSINA,KANKARA,KUKASHEKA,KANAWA - K/G MAI UNG,20-19-04-008,723
3619,KATSINA,KANKARA,KUKASHEKA,KADANYA -K/G MAI UNG,20-19-04-009,728
3620,KATSINA,KANKARA,KUKASHEKA,ALMAJI RAWA - PRI SCHOOL,20-19-04-010,415
3621,KATSINA,KANKARA,KUKASHEKA,MAKAWA - K/GIDAN MAIUNGWA,20-19-04-011,832
3622,KATSINA,KANKARA,KUKASHEKA,MASHIGI K/UNGUWA,20-19-04-012,784
3623,KATSINA,KANKARA,KUKASHEKA,UNG MAIGARI K/UNGUWA,20-19-04-013,389
3624,KATSINA,KANKARA,KUKASHEKA,UNG GARBA K/UNGUWA,20-19-04-014,532
3625,KATSINA,KANKARA,KUKASHEKA,SABON LAYI II PRI.SCHOOL,20-19-04-015,478
3626,KATSINA,KANKARA,KUKASHEKA,S/LAYI DISP.,20-19-04-016,05
3627,KATSINA,KANKARA,KUKASHEKA,HURUMI ISL. PROJECT,20-19-04-017,02
3628,KATSINA,KANKARA,KUKASHEKA,MAKAWU P.S,20-19-04-018,03
3629,KATSINA,KANKARA,KUKASHEKA,MASHGI P.S,20-19-04-019,132
3630,KATSINA,KANKARA,HURYA,KETARE I PRI.SCHOOL,20-19-05-001,703
3631,KATSINA,KANKARA,HURYA,KETARE II - MODEL PRI.SCHOOL,20-19-05-002,1169
3632,KATSINA,KANKARA,HURYA,UNG UMAR - LEPROSY CLINIC,20-19-05-003,498
3633,KATSINA,KANKARA,HURYA,ABDUWA - ABDUWA CLINIC,20-19-05-004,550
3634,KATSINA,KANKARA,HURYA,DANDASHIRE I A&B DANSHERI,20-19-05-005,1007
3635,KATSINA,KANKARA,HURYA,UNG.SALE I UNG SALE,20-19-05-006,625
3636,KATSINA,KANKARA,HURYA,UNG.SALE II GIDAN SHARU,20-19-05-007,343
3637,KATSINA,KANKARA,HURYA,UNG SHEHU - UNG SHEHU,20-19-05-008,590
3638,KATSINA,KANKARA,HURYA,SAGABA PRI.SCHOOL,20-19-05-009,726
3639,KATSINA,KANKARA,HURYA,BADA'U - BADA'U PRI.SCHOOL,20-19-05-010,452
3640,KATSINA,KANKARA,HURYA,HURYA EAST I HURYA PRI. SCHOOL,20-19-05-011,526
3641,KATSINA,KANKARA,HURYA,HURYA WEST II GANZAMAWA,20-19-05-012,630
3642,KATSINA,KANKARA,HURYA,HURYA III - GIDAN JAKI,20-19-05-013,476
3643,KATSINA,KANKARA,HURYA,KETARE P.S,20-19-05-014,02
3644,KATSINA,KANKARA,HURYA,SANTAR BAILU ISLAMIYYA,20-19-05-015,00
3645,KATSINA,KANKARA,KANKARA A&B,KOFAR AREWA I PRI SCHOOL,20-19-06-001,979
3646,KATSINA,KANKARA,KANKARA A&B,KOFAR AREWA II LAWAL PRI.SCHOOL,20-19-06-002,1112
3647,KATSINA,KANKARA,KANKARA A&B,KOFAR YAMMA I PRI.SCHOOL,20-19-06-003,1137
3648,KATSINA,KANKARA,KANKARA A&B,KOFAR YAMMA II K/G M/UNG MATSIGA,20-19-06-004,1156
3649,KATSINA,KANKARA,KANKARA A&B,KOFAR KUDU I A&B K/G MAI UNG,20-19-06-005,951
3650,KATSINA,KANKARA,KANKARA A&B,KOFAR KUDU II A&B -NUHU PRI.SCHOOL,20-19-06-006,1228
3651,KATSINA,KANKARA,KANKARA A&B,KOFAR KUDU VET CLINIC I A&B LEPROSY CLINIC,20-19-06-007,798
3652,KATSINA,KANKARA,KANKARA A&B,KOFAR KUDU VET CLINIC II A&B VET CLINIC,20-19-06-008,1301
3653,KATSINA,KANKARA,KANKARA A&B,KANKARA TSAKIYA 'ADULT EDU.CLASS,20-19-06-009,890
3654,KATSINA,KANKARA,KANKARA A&B,KANKARA JOBE A&B READING ROOM,20-19-06-010,1007
3655,KATSINA,KANKARA,KANKARA A&B,ISLAMIYYA - BAKIN MASALLACHI,20-19-06-011,851
3656,KATSINA,KANKARA,KANKARA A&B,KANKARA CENTRAL DISIPENSARY A&B DISPENSARY,20-19-06-012,360
3657,KATSINA,KANKARA,KANKARA A&B,SABON GARI PROJECT STORE A&B S/G PROJECT STORE,20-19-06-013,1074
3658,KATSINA,KANKARA,KANKARA A&B,FERTILZER STORE 1 A&B - FETI STORE,20-19-06-014,1074
3659,KATSINA,KANKARA,KANKARA A&B,KOFAR KUDU III / OPEN SPACE,20-19-06-015,691
3660,KATSINA,KANKARA,KANKARA A&B,FERTILIZER STORE II A&B NEPA/WATER BOARD,20-19-06-016,731
3661,KATSINA,KANKARA,KANKARA A&B,PROJECT OFFICE - PROJECT OFFICE,20-19-06-017,1368
3662,KATSINA,KANKARA,KANKARA A&B,MARABAR GURBI - ISLAMIYYA,20-19-06-018,699
3663,KATSINA,KANKARA,KANKARA A&B,JAN RUWA I PRI.SCHOOL,20-19-06-019,739
3664,KATSINA,KANKARA,KANKARA A&B,JAN RUWA II PRI.SCHOOL,20-19-06-020,353
3665,KATSINA,KANKARA,KANKARA A&B,MAUDE I BAGOMA PRI.SCHOOL,20-19-06-021,733
3666,KATSINA,KANKARA,KANKARA A&B,MAUDE II - MAUDE P.SCHOOL,20-19-06-022,494
3667,KATSINA,KANKARA,KANKARA A&B,UNG.MAI DAWA UNG MAI DAWA,20-19-06-023,631
3668,KATSINA,KANKARA,KANKARA A&B,KANKARA KUDU KUYAN GIZO,20-19-06-024,2052
3669,KATSINA,KANKARA,KANKARA A&B,KANKARA W/BOARD - PAMPON MAMUDA,20-19-06-025,961
3670,KATSINA,KANKARA,KANKARA A&B,KANKARA S/GARI   S/GARI ISLAMIYA M. YUNUSA,20-19-06-026,1513
3671,KATSINA,KANKARA,KANKARA A&B,KANKARA JOBE  /  READING ROOM,20-19-06-027,615
3672,KATSINA,KANKARA,KANKARA A&B,CENTRAL FAMFO,20-19-06-028,33
3673,KATSINA,KANKARA,KANKARA A&B,DANDUTSE UNCLE D PRI. SCH,20-19-06-029,90
3674,KATSINA,KANKARA,KANKARA A&B,MANGWARORI-SOLAR,20-19-06-030,64
3675,KATSINA,KANKARA,KANKARA A&B,MATSIGA ISLAMIYYA,20-19-06-031,14
